Recipe,URL
Curry Beef Soup,http://allrecipes.com/recipe/13166/curry-beef-soup
Peppermint Liqueur,http://allrecipes.com/recipe/58464/peppermint-liqueur
Zimbabwean Chicken and Vegetable Soup,http://allrecipes.com/recipe/219483/zimbabwean-chicken-and-vegetable-soup
Gisela's Butternut Squash Soup,http://allrecipes.com/recipe/214563/giselas-butternut-squash-soup
Best Bobotie,http://allrecipes.com/recipe/157881/best-bobotie
South African Brown Pudding,http://allrecipes.com/recipe/214766/south-african-brown-pudding
Chutney Chicken,http://allrecipes.com/recipe/9018/chutney-chicken
South African Yellow Rice,http://allrecipes.com/recipe/98799/south-african-yellow-rice
South African Melktert (Milk Tart),http://allrecipes.com/recipe/80160/south-african-melktert-milk-tart
Milk Tart,http://allrecipes.com/recipe/16738/milk-tart
South African Lamb Sosaties(Kebabs),http://allrecipes.com/recipe/34728/south-african-lamb-sosatieskebabs
Ways to Clean Your Home for Your Allergy Sufferers,
Pumpkin Casserole/Souffle,http://allrecipes.com/recipe/239216/pumpkin-casserolesouffle
Cape Malay Pickled Fish,http://allrecipes.com/recipe/104444/cape-malay-pickled-fish
Bobotie,http://allrecipes.com/recipe/23129/bobotie
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=15035&referringContentType=recipe%20hub&clickId=cardslot%2010
South African Sugar Bean Soup,http://allrecipes.com/recipe/254857/south-african-sugar-bean-soup
Spicy Potato Noodles (Bataka Sev),http://allrecipes.com/recipe/213577/spicy-potato-noodles-bataka-sev
Beef Curry Soup,http://allrecipes.com/recipe/13208/beef-curry-soup
Ginger Malva Pudding,http://allrecipes.com/recipe/256679/ginger-malva-pudding
Susie's Mocca Cheesecake,http://allrecipes.com/recipe/215270/susies-mocca-cheesecake
Vary Aminanana (Collard Greens and Rice),http://allrecipes.com/recipe/236464/vary-aminanana-collard-greens-and-rice
South African Malvapoeding (Marshmallow Pudding),http://allrecipes.com/recipe/58465/south-african-malvapoeding-marshmallow-pudding
South African Bobotie,http://allrecipes.com/recipe/244879/south-african-bobotie
South African Traditional Vetkoek (Fried Bread),http://allrecipes.com/recipe/245683/south-african-traditional-vetkoek-fried-bread
Chocolate Fondue L'Afrique,http://allrecipes.com/recipe/147251/chocolate-fondue-lafrique
Beetroot Pancakes,http://allrecipes.com/recipe/215271/beetroot-pancakes
South African Milk Tart,http://allrecipes.com/recipe/254858/south-african-milk-tart
Tomato Bredie,http://allrecipes.com/recipe/68735/tomato-bredie
South African Instant Milk Tart,http://allrecipes.com/recipe/238837/south-african-instant-milk-tart
