Recipe,URL
Shakshooka,http://allrecipes.com/recipe/213716/shakshooka
Fresh Israeli Salad,http://allrecipes.com/recipe/236273/fresh-israeli-salad
Tahini Butter Cookies,http://allrecipes.com/recipe/98087/tahini-butter-cookies
Israeli Tomato and Cucumber Salad,http://allrecipes.com/recipe/242304/israeli-tomato-and-cucumber-salad
Re:Bar Re:Vive Shake,http://allrecipes.com/recipe/233974/rebar-revive-shake
Fast and Easy Israeli Tahini Cookies,http://allrecipes.com/recipe/239826/fast-and-easy-israeli-tahini-cookies
Authentic Middle Eastern Hummus (Chummus),http://allrecipes.com/recipe/161082/authentic-middle-eastern-hummus-chummus
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=1826&referringContentType=recipe%20hub&clickId=cardslot%202
Middle Eastern Kibbeh,http://allrecipes.com/recipe/143265/middle-eastern-kibbeh
Sambusaks (Sumboosaks) with Chickpeas,http://allrecipes.com/recipe/216953/sambusaks-sumboosaks-with-chickpeas
Salat Yirakot,http://allrecipes.com/recipe/256540/salat-yirakot
Israeli Stuffed Dates,http://allrecipes.com/recipe/139989/israeli-stuffed-dates
Hawaij/All-Purpose Seasoning,http://allrecipes.com/recipe/236272/hawaijall-purpose-seasoning
Whole Rice and Lentils (Majadara),http://allrecipes.com/recipe/222902/whole-rice-and-lentils-majadara
Moroccan Shabbat Fish,http://allrecipes.com/recipe/213243/moroccan-shabbat-fish
Foolproof Potato Latkes,http://allrecipes.com/recipe/212816/foolproof-potato-latkes
Ima's Potato Salad,http://allrecipes.com/recipe/213718/imas-potato-salad
Israeli Salad,http://allrecipes.com/recipe/208878/israeli-salad
Apples in Pajamas,http://allrecipes.com/recipe/57998/apples-in-pajamas
Middle Eastern Rice with Black Beans and Chickpeas,http://allrecipes.com/recipe/87496/middle-eastern-rice-with-black-beans-and-chickpeas
Chakchouka (Shakshouka),http://allrecipes.com/recipe/213717/chakchouka-shakshouka
Apple and Honey Sorbet,http://allrecipes.com/recipe/76202/apple-and-honey-sorbet
Cheese Bourekas,http://allrecipes.com/recipe/72560/cheese-bourekas
Yummy Matzo Rolls,http://allrecipes.com/recipe/102744/yummy-matzo-rolls
Matbucha,http://allrecipes.com/recipe/214808/matbucha
Shakshuka Middle Eastern Breakfast Dish,http://allrecipes.com/recipe/214020/shakshuka-middle-eastern-breakfast-dish
Strudel Roll Cookies,http://allrecipes.com/recipe/10729/strudel-roll-cookies
