Recipe,URL
Persian Yogurt Salad,http://allrecipes.com/recipe/30220/persian-yogurt-salad
Wheat Flour Halva,http://allrecipes.com/recipe/257258/wheat-flour-halva
The Rebbetzin Chef's Persian Walnut Cookies,http://allrecipes.com/recipe/103170/the-rebbetzin-chefs-persian-walnut-cookies
Tas Kebab (Persian Lamb and Vegetable Stew),http://allrecipes.com/recipe/255440/tas-kebab-persian-lamb-and-vegetable-stew
"Strawberry, Ginger and Mint Sekanjabin",http://allrecipes.com/recipe/112336/strawberry-ginger-and-mint-sekanjabin
Mast-o-Khiar,http://allrecipes.com/recipe/256930/mast-o-khiar
Persian Fesenjun,http://allrecipes.com/recipe/69299/persian-fesenjun
Persian Cucumber Yogurt (Maast-o Khiar),http://allrecipes.com/recipe/59143/persian-cucumber-yogurt-maast-o-khiar
Yazdi Cakes,http://allrecipes.com/recipe/161738/yazdi-cakes
Spinach Pancake,http://allrecipes.com/recipe/254537/spinach-pancake
Khoresht Bademjoumn,http://allrecipes.com/recipe/245477/khoresht-bademjoumn
Iranian Yogurt Dish,http://allrecipes.com/recipe/173208/iranian-yogurt-dish
Turkey Kofta Kabobs,http://allrecipes.com/recipe/245478/turkey-kofta-kabobs
Iskender Kebab,http://allrecipes.com/recipe/88080/iskender-kebab
Ash-e Reshteh (Persian Legume Soup),http://allrecipes.com/recipe/245476/ash-e-reshteh-persian-legume-soup
Lubia Polo (Green Bean Rice),http://allrecipes.com/recipe/31794/lubia-polo-green-bean-rice
Lamb and Asparagus Stew,http://allrecipes.com/recipe/151709/lamb-and-asparagus-stew
Adas Polow (Persian Rice and Lentils),http://allrecipes.com/recipe/215387/adas-polow-persian-rice-and-lentils
Pomegranate Stew with Chicken (Khoresh Fesenjan),http://allrecipes.com/recipe/85118/pomegranate-stew-with-chicken-khoresh-fesenjan
Khoresht Fesenjaan (Chicken with Pomegranate Sauce),http://allrecipes.com/recipe/49450/khoresht-fesenjaan-chicken-with-pomegranate-sauce
Persian Rice,http://allrecipes.com/video/4936/persian-rice?internalSource=videocard&referringId=15937&referringContentType=recipe%20hub&clickId=cardslot%2011
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=15937&referringContentType=recipe%20hub&clickId=cardslot%2010
Persian Kabob,http://allrecipes.com/recipe/55022/persian-kabob
Persian Celery Sauce (Khoreshe Karafs),http://allrecipes.com/recipe/245819/persian-celery-sauce-khoreshe-karafs
Herbed Pomegranate Salsa,http://allrecipes.com/recipe/38034/herbed-pomegranate-salsa
Ash-e-jow (Iranian/Persian Barley Soup),http://allrecipes.com/recipe/126778/ash-e-jow-iranianpersian-barley-soup
Persian Sabzi Polo (Herb Rice with Fava Beans),http://allrecipes.com/recipe/25275/persian-sabzi-polo-herb-rice-with-fava-beans
Fereni Starch Pudding,http://allrecipes.com/recipe/16079/fereni-starch-pudding
Duck Fesenjan,http://allrecipes.com/video/4937/duck-fesenjan?internalSource=videocard&referringId=15937&referringContentType=recipe%20hub&clickId=cardslot%2017
Persian-Style Tomato Avocado Salad,http://allrecipes.com/recipe/202375/persian-style-tomato-avocado-salad
Persian Herb and Cheese,http://allrecipes.com/recipe/245818/persian-herb-and-cheese
Eggplant Mirza,http://allrecipes.com/recipe/245480/eggplant-mirza
Jarjeer (Arugula) Salad,http://allrecipes.com/recipe/141069/jarjeer-arugula-salad
Ginger Sekanjabin,http://allrecipes.com/recipe/110656/ginger-sekanjabin
Persian Melon Salad,http://allrecipes.com/recipe/215578/persian-melon-salad
Yakh Dar Behesht (Persian Milk Pudding),http://allrecipes.com/recipe/245479/yakh-dar-behesht-persian-milk-pudding
Persian Eggplant Stew,http://allrecipes.com/recipe/256942/persian-eggplant-stew-
Sekanjabin (Iranian Mint Vinegar Syrup),http://allrecipes.com/recipe/237255/sekanjabin-iranian-mint-vinegar-syrup
Zeytoon Parvardeh (Persian Olive Pomegranate Dip),http://allrecipes.com/recipe/256931/zeytoon-parvardeh-persian-olive-pomegranate-dip
Persian Shish Kabob,http://allrecipes.com/recipe/14515/persian-shish-kabob
