Recipe,URL
German Marble Cake,http://allrecipes.com/recipe/7807/german-marble-cake
Wiener Schnitzel,http://allrecipes.com/recipe/47599/wiener-schnitzel
German-Style Weck Rolls,http://allrecipes.com/recipe/17916/german-style-weck-rolls
Coconut Macaroons German Style,http://allrecipes.com/recipe/95782/coconut-macaroons-german-style
Bavarian Style Meatballs,http://allrecipes.com/recipe/14883/bavarian-style-meatballs
Authentic German Cheesecake,http://allrecipes.com/recipe/87483/authentic-german-cheesecake
Creamy German Coleslaw,http://allrecipes.com/recipe/229768/creamy-german-coleslaw
Meatless Stuffed Peppers,http://allrecipes.com/recipe/22923/meatless-stuffed-peppers
Kraut Bierocks,http://allrecipes.com/recipe/23893/kraut-bierocks
Uber-Braten Kielbasa and Sauerkraut Casserole,http://allrecipes.com/recipe/228407/uber-braten-kielbasa-and-sauerkraut-casserole
Chef John's Beef Rouladen,http://allrecipes.com/recipe/244200/chef-johns-beef-rouladen
Slow Cooker German-Style Pork Roast with Sauerkraut and Potatoes,http://allrecipes.com/recipe/146229/slow-cooker-german-style-pork-roast-with-sauerkraut-and-potatoes
Kaes-Spaetzle,http://allrecipes.com/recipe/52460/kaes-spaetzle
German Apple Cake II,http://allrecipes.com/recipe/15765/german-apple-cake-ii
Jaeger Schnitzel,http://allrecipes.com/recipe/85935/jaeger-schnitzel
Slow Cooker Kielbasa and Beer,http://allrecipes.com/recipe/21380/slow-cooker-kielbasa-and-beer
Bee Sting Cake (Bienenstich) II,http://allrecipes.com/recipe/8039/bee-sting-cake-bienenstich-ii
German Pancakes II,http://allrecipes.com/recipe/36900/german-pancakes-ii
Cabbage and Kielbasa,http://allrecipes.com/recipe/18454/cabbage-and-kielbasa
Kate's Easy German Sauerbraten,http://allrecipes.com/recipe/221360/kates-easy-german-sauerbraten
German Rouladen,http://allrecipes.com/recipe/25194/german-rouladen
Barbarella's German Pancakes,http://allrecipes.com/recipe/40071/barbarellas-german-pancakes
German Potato Salad,http://allrecipes.com/recipe/14411/german-potato-salad
Apple Kuchen,http://allrecipes.com/recipe/8186/apple-kuchen
German Style Kielbasa,http://allrecipes.com/recipe/95506/german-style-kielbasa
