Recipe Name,Ingredient,URL
Thai Peanut Noodle Stir-Fry,uncooked spaghetti,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,cornstarch,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,vegetable broth,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,creamy peanut butter,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,soy sauce,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,honey,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,brown sugar,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,sesame oil,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,ground ginger,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,ground  pepper,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,sake,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,vegetable oil,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,garlic,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,onion,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,broccoli florets,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,carrots,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,red bell pepper,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Thai Peanut Noodle Stir-Fry,sugar snap peas,http://allrecipes.com/recipe/168579/thai-peanut-noodle-stir-fry
Fresh Spring Rolls With Thai Dipping Sauce,spring roll wrappers (available in Asian markets),http://allrecipes.com/recipe/77527/fresh-spring-rolls-with-thai-dipping-sauce
Fresh Spring Rolls With Thai Dipping Sauce,"medium shrimp, cooked and shelled",http://allrecipes.com/recipe/77527/fresh-spring-rolls-with-thai-dipping-sauce
Fresh Spring Rolls With Thai Dipping Sauce,shredded leaf lettuce,http://allrecipes.com/recipe/77527/fresh-spring-rolls-with-thai-dipping-sauce
Fresh Spring Rolls With Thai Dipping Sauce,chopped cilantro,http://allrecipes.com/recipe/77527/fresh-spring-rolls-with-thai-dipping-sauce
Fresh Spring Rolls With Thai Dipping Sauce,peeled   cucumber,http://allrecipes.com/recipe/77527/fresh-spring-rolls-with-thai-dipping-sauce
Fresh Spring Rolls With Thai Dipping Sauce,medium carrot,http://allrecipes.com/recipe/77527/fresh-spring-rolls-with-thai-dipping-sauce
