Recipe,URL
Colombian Chicken,http://allrecipes.com/recipe/84596/colombian-chicken
Brazilian Grilled Pineapple,http://allrecipes.com/recipe/235932/brazilian-grilled-pineapple
Colombian Lentils,http://allrecipes.com/recipe/216717/colombian-lentils
Peruvian Cilantro Rice,http://allrecipes.com/recipe/73832/peruvian-cilantro-rice
Brazilian Passion Fruit Mousse (Maracuja),http://allrecipes.com/recipe/47436/brazilian-passion-fruit-mousse-maracuja
Brazilian Cheese Bread (Pao de Queijo),http://allrecipes.com/recipe/98554/brazilian-cheese-bread-pao-de-queijo
Brazilian White Rice,http://allrecipes.com/recipe/144308/brazilian-white-rice
Brazilian Black Bean Stew,http://allrecipes.com/recipe/71808/brazilian-black-bean-stew
Colombian Aji,http://allrecipes.com/recipe/142528/colombian-aji
Fruit Espuma (Latin American Gelatin Foam),http://allrecipes.com/recipe/108184/fruit-espuma-latin-american-gelatin-foam
Pesto Quinoa,http://allrecipes.com/recipe/214470/pesto-quinoa
Manjar (Dulce de Leche) from Scratch,http://allrecipes.com/recipe/145412/manjar-dulce-de-leche-from-scratch
Colombian Stewed Flank,http://allrecipes.com/recipe/143611/colombian-stewed-flank
Spicy Peruvian Pork,http://allrecipes.com/recipe/60681/spicy-peruvian-pork
Chilean Empanada,http://allrecipes.com/recipe/185584/chilean-empanada
Roast Peruvian Turkey,http://allrecipes.com/recipe/235472/roast-peruvian-turkey-
Rabbit Stew with Coconut Cream,http://allrecipes.com/recipe/84175/rabbit-stew-with-coconut-cream
Brazilian Rice,http://allrecipes.com/recipe/254354/brazilian-rice-
Argentinean Potato Salad,http://allrecipes.com/recipe/45044/argentinean-potato-salad
Coconut Coconut Milk Cake,http://allrecipes.com/recipe/237023/coconut-coconut-milk-cake
Black Beans a la Olla,http://allrecipes.com/recipe/190725/black-beans-a-la-olla
Red Pepper Chimichurri,http://allrecipes.com/recipe/106163/red-pepper-chimichurri
Peruvian Chicken Soup (Aguadito de Pollo),http://allrecipes.com/recipe/106515/peruvian-chicken-soup-aguadito-de-pollo
Feijoada (Brazilian Black Bean Stew),http://allrecipes.com/recipe/139208/feijoada-brazilian-black-bean-stew
Chicken and Red Bell Pepper Salad Sandwiches,http://allrecipes.com/recipe/179911/chicken-and-red-bell-pepper-salad-sandwiches
Oh Hello! Here to banish your dry skin!,
Alfajores Argentinean Style,http://allrecipes.com/recipe/187786/alfajores-argentinean-style
Chimichurri Sauce,http://allrecipes.com/recipe/68003/chimichurri-sauce
Argentine Meat Empanadas,http://allrecipes.com/recipe/12512/argentine-meat-empanadas
Arroz Tapado (Rice-On-Top),http://allrecipes.com/recipe/216814/arroz-tapado-rice-on-top
Fried Empanadas,http://allrecipes.com/recipe/71805/fried-empanadas
Peruvian Alfajores,http://allrecipes.com/recipe/131924/peruvian-alfajores
Brazilian Coffee Cookies,http://allrecipes.com/recipe/11292/brazilian-coffee-cookies
Quinoa Pilaf,http://allrecipes.com/recipe/13925/quinoa-pilaf
Argentine Lentil Stew,http://allrecipes.com/recipe/43737/argentine-lentil-stew
Chef John's Chimichurri Sauce,http://allrecipes.com/recipe/236375/chef-johns-chimichurri-sauce
Brazilian Black Bean Soup,http://allrecipes.com/recipe/46876/brazilian-black-bean-soup
Brazilian Lemonade,http://allrecipes.com/recipe/54083/brazilian-lemonade
Sancocho,http://allrecipes.com/recipe/41736/sancocho
Quinoa Vegetable Soup,http://allrecipes.com/recipe/93483/quinoa-vegetable-soup
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=730&referringContentType=recipe%20hub&clickId=cardslot%2010
Peruvian Lomo Saltado,http://allrecipes.com/recipe/40083/peruvian-lomo-saltado
Brazilian Banana Bread,http://allrecipes.com/recipe/6712/brazilian-banana-bread
Red Salad,http://allrecipes.com/recipe/44390/red-salad
Brazilian Cheese Puffs (Pao de Queijo),http://allrecipes.com/recipe/185470/brazilian-cheese-puffs-pao-de-queijo
Brazilian Bananas,http://allrecipes.com/recipe/87050/brazilian-bananas
Citrus Ceviche,http://allrecipes.com/recipe/12796/citrus-ceviche
Torta De Hojas,http://allrecipes.com/recipe/25554/torta-de-hojas
Brigadeiro,http://allrecipes.com/recipe/24052/brigadeiro
Argentinean-Style Ribs,http://allrecipes.com/recipe/52272/argentinean-style-ribs
Colombian Chicken Stew (Ajiaco),http://allrecipes.com/recipe/186515/colombian-chicken-stew-ajiaco
Brazilian Collards,http://allrecipes.com/recipe/81384/brazilian-collards
Mom's Stovetop Pork Ribs,http://allrecipes.com/recipe/75811/moms-stovetop-pork-ribs
Brazilian Style Flan (Pudim de Leite Condensado),http://allrecipes.com/recipe/202261/brazilian-style-flan-pudim-de-leite-condensado
Peruvian Style Beer Can Chicken,http://allrecipes.com/recipe/228071/peruvian-style-beer-can-chicken
Canja,http://allrecipes.com/recipe/13140/canja
Beijinho de Coco (Coconut Little Kiss),http://allrecipes.com/recipe/130689/beijinho-de-coco-coconut-little-kiss
Bolivian Saltenas,http://allrecipes.com/recipe/216872/bolivian-saltenas
Black Beans with Bacon,http://allrecipes.com/recipe/36203/black-beans-with-bacon
Coconut Flan,http://allrecipes.com/recipe/109921/coconut-flan
Homemade Arepas,http://allrecipes.com/recipe/238510/homemade-arepas-
Ajiaco (Beef and Pepper Stew),http://allrecipes.com/recipe/134315/ajiaco-beef-and-pepper-stew
Brazilian Carrot Cake,http://allrecipes.com/recipe/149480/brazilian-carrot-cake
Quinoa Pudding,http://allrecipes.com/recipe/19587/quinoa-pudding
Quinoa and Black Beans,http://allrecipes.com/recipe/49552/quinoa-and-black-beans
Dulce de Leche,http://allrecipes.com/recipe/19039/dulce-de-leche
Argentine Chimichurri Bread,http://allrecipes.com/recipe/16766/argentine-chimichurri-bread
Picadinho'A Brasiliera,http://allrecipes.com/recipe/166289/picadinhoa-brasiliera
Brazilian Chicken with Coconut Milk,http://allrecipes.com/recipe/58647/brazilian-chicken-with-coconut-milk
Ceviche Peruano,http://allrecipes.com/recipe/134464/ceviche-peruano
Pork and Black Bean Stew,http://allrecipes.com/recipe/100011/pork-and-black-bean-stew
Peruvian Arroz con Pollo,http://allrecipes.com/recipe/204963/peruvian-arroz-con-pollo
Pasteles - Argentinean Caramel Filled Crescents,http://allrecipes.com/recipe/11567/pasteles---argentinean-caramel-filled-crescents
Brazilian-Style Moist Coconut Cake,http://allrecipes.com/recipe/149479/brazilian-style-moist-coconut-cake
Cazuela de Vaca (Beef and Pumpkin Stew),http://allrecipes.com/recipe/134329/cazuela-de-vaca-beef-and-pumpkin-stew
Aji de Gallina,http://allrecipes.com/recipe/138090/aji-de-gallina
