Recipe,URL
Peach-Basil White Sangria,http://allrecipes.com/recipe/223542/peach-basil-white-sangria
Portuguese Bean Soup II,http://allrecipes.com/recipe/25734/portuguese-bean-soup-ii
Rabbit with Mustard,http://allrecipes.com/recipe/32049/rabbit-with-mustard
Portuguese Coconut Cakes (Bolos de Coco),http://allrecipes.com/recipe/245823/portuguese-coconut-cakes-bolos-de-coco
Portuguese Beans with Kale and Linguica,http://allrecipes.com/recipe/176272/portuguese-beans-with-kale-and-linguica
Wine and Garlic Pork (Portuguese Vina Dosh),http://allrecipes.com/recipe/223185/wine-and-garlic-pork-portuguese-vina-dosh
Mom's Portuguese Beef Stew,http://allrecipes.com/recipe/130808/moms-portuguese-beef-stew
Portuguese Chourico Stew,http://allrecipes.com/recipe/31810/portuguese-chourico-stew
Portuguese Egg Tarts,http://allrecipes.com/recipe/218037/portuguese-egg-tarts
Portuguese Walnut Squares,http://allrecipes.com/recipe/19223/portuguese-walnut-squares
Spicy Red Bean Soup,http://allrecipes.com/recipe/15061/spicy-red-bean-soup
Portuguese Chicken Soup II,http://allrecipes.com/recipe/13180/portuguese-chicken-soup-ii
Portuguese Sweet Rice,http://allrecipes.com/recipe/20305/portuguese-sweet-rice
Espiros,http://allrecipes.com/recipe/75347/espiros
Portuguese Cornbread,http://allrecipes.com/recipe/6917/portuguese-cornbread
Portuguese Chourico and Peppers,http://allrecipes.com/recipe/47604/portuguese-chourico-and-peppers
Portuguese Beef - Cacoila,http://allrecipes.com/recipe/30626/portuguese-beef---cacoila
Peach-Pineapple Sangria,http://allrecipes.com/recipe/223545/peach-pineapple-sangria
Portuguese Bean Soup I,http://allrecipes.com/recipe/23861/portuguese-bean-soup-i
Codfish with Cream,http://allrecipes.com/recipe/161862/codfish-with-cream
Malasadas,http://allrecipes.com/recipe/7128/malasadas
Espetadas (Portuguese Beef Shish Kabobs),http://allrecipes.com/recipe/218484/espetadas-portuguese-beef-shish-kabobs
Portugal Cakes,http://allrecipes.com/recipe/6890/portugal-cakes
Portuguese Pork Alentejana,http://allrecipes.com/recipe/24164/portuguese-pork-alentejana
JAG (Portuguese Rice and Beans),http://allrecipes.com/recipe/237668/jag-portuguese-rice-and-beans
Caldo Verde (Portuguese Green Soup),http://allrecipes.com/recipe/25737/caldo-verde-portuguese-green-soup
Kale and Cabbage Soup,http://allrecipes.com/recipe/232406/kale-and-cabbage-soup
Portuguese Fava Bean Stew,http://allrecipes.com/recipe/143324/portuguese-fava-bean-stew
Chicken Blood Rice,http://allrecipes.com/recipe/38445/chicken-blood-rice
Portuguese Roll-Ups,http://allrecipes.com/recipe/16971/portuguese-roll-ups
Kale Soup,http://allrecipes.com/video/3397/kale-soup?internalSource=videocard&referringId=724&referringContentType=recipe%20hub&clickId=cardslot%208
Portuguese Steamed Clams,http://allrecipes.com/recipe/12766/portuguese-steamed-clams
Arroz de Braga (Portuguese Rice),http://allrecipes.com/recipe/246191/arroz-de-braga-portuguese-rice
Malasadas Dois,http://allrecipes.com/recipe/85328/malasadas-dois
Allrecipes Magazine,https://secure.allrecipesmagazine.com/order/?containerName=i71vtar01&psrc=I701TRDW398DFA&internalSource=marketcard&referringId=724&referringContentType=recipe%20hub&clickId=cardslot%207
Spicy Portuguese Stuffing Balls,http://allrecipes.com/recipe/254889/spicy-portuguese-stuffing-balls
Portuguese Fried Bread,http://allrecipes.com/recipe/6918/portuguese-fried-bread
Kale Soup with Portuguese Sausage,http://allrecipes.com/recipe/216056/kale-soup-with-portuguese-sausage
Paradise of Chocolate,http://allrecipes.com/recipe/35822/paradise-of-chocolate
Caldo Verde Variation,http://allrecipes.com/recipe/234968/caldo-verde-variation
Portuguese Custard Tarts - Pasteis de Nata,http://allrecipes.com/recipe/24128/portuguese-custard-tarts---pasteis-de-nata
Portuguese Kale Soup,http://allrecipes.com/recipe/25735/portuguese-kale-soup
Bacalhau Portuguese ao Forno (Salt Cod with Tomatoes and Olives),http://allrecipes.com/recipe/246699/bacalhau-portuguese-ao-forno-salt-cod-with-tomatoes-and-olives
Portuguese Snow Drops,http://allrecipes.com/recipe/235030/portuguese-snow-drops
Chicken Sofrito,http://allrecipes.com/recipe/246556/chicken-sofrito
Portuguese Cod Fish Casserole,http://allrecipes.com/recipe/44726/portuguese-cod-fish-casserole
Portuguese Sweet Bread I,http://allrecipes.com/recipe/7079/portuguese-sweet-bread-i
Easy Portuguese Cookies,http://allrecipes.com/recipe/18153/easy-portuguese-cookies
Green Cabbage Caldo Verde,http://allrecipes.com/recipe/133837/green-cabbage-caldo-verde
Portuguese Egg Pudding,http://allrecipes.com/recipe/20234/portuguese-egg-pudding
Quince Paste,http://allrecipes.com/recipe/157011/quince-paste
Pork with Clams,http://allrecipes.com/recipe/23694/pork-with-clams
Portuguese Sweet Bread III,http://allrecipes.com/recipe/16916/portuguese-sweet-bread-iii
