Recipe,URL
Chicken and Red Bell Pepper Salad Sandwiches,http://allrecipes.com/recipe/179911/chicken-and-red-bell-pepper-salad-sandwiches
Feijoada (Brazilian Black Bean Stew),http://allrecipes.com/recipe/139208/feijoada-brazilian-black-bean-stew
Isa's Cola de Mono,http://allrecipes.com/recipe/67163/isas-cola-de-mono
Chilean Empanada,http://allrecipes.com/recipe/185584/chilean-empanada
Pisco Sour II,http://allrecipes.com/recipe/202838/pisco-sour-ii
Rabbit Stew with Coconut Cream,http://allrecipes.com/recipe/84175/rabbit-stew-with-coconut-cream
Argentinean Potato Salad,http://allrecipes.com/recipe/45044/argentinean-potato-salad
Black Beans a la Olla,http://allrecipes.com/recipe/190725/black-beans-a-la-olla
Arroz Tapado (Rice-On-Top),http://allrecipes.com/recipe/216814/arroz-tapado-rice-on-top
Argentine Lentil Stew,http://allrecipes.com/recipe/43737/argentine-lentil-stew
Brazilian Lemonade,http://allrecipes.com/recipe/54083/brazilian-lemonade
Bolo de Leite Condensado (Brazilian Condensed Milk Cake),http://allrecipes.com/recipe/246193/bolo-de-leite-condensado-brazilian-condensed-milk-cake
Red Salad,http://allrecipes.com/recipe/44390/red-salad
Brazilian Cheese Puffs (Pao de Queijo),http://allrecipes.com/recipe/185470/brazilian-cheese-puffs-pao-de-queijo
Peruvian Aji Sauce,http://allrecipes.com/recipe/93286/peruvian-aji-sauce
Citrus Ceviche,http://allrecipes.com/recipe/12796/citrus-ceviche
Squash and Kohlrabi Empanadas,http://allrecipes.com/recipe/214911/squash-and-kohlrabi-empanadas
Brazilian Cheese Rolls (Pao de Queijo),http://allrecipes.com/recipe/221430/brazilian-cheese-rolls-pao-de-queijo
Mom's Stovetop Pork Ribs,http://allrecipes.com/recipe/75811/moms-stovetop-pork-ribs
Quinoa and Black Beans,http://allrecipes.com/recipe/49552/quinoa-and-black-beans
Dulce de Leche,http://allrecipes.com/recipe/19039/dulce-de-leche
St. Patrick's Day Recipes,
Pork and Black Bean Stew,http://allrecipes.com/recipe/100011/pork-and-black-bean-stew
Brazilian-Style Moist Coconut Cake,http://allrecipes.com/recipe/149479/brazilian-style-moist-coconut-cake
Chilean Potato Pie (Pastel de Papas),http://allrecipes.com/recipe/210774/chilean-potato-pie-pastel-de-papas
